country_code,country_name,lat,lon,n_children,mean_haz,mean_waz,mean_whz,stunted_pct,wasted_pct,underweight_pct,overweight_pct
bol,Bolivia,-16.5,-68.15,8605,-1.2138970969414205,-0.2675583203732504,0.5994232763089684,26.360808709175735,1.4644893727319854,4.380508035251426,8.164852255054432
fji,Fiji,-17.71,178.07,2135,-0.058754980079681274,0.09304199218749999,0.17460759493670885,7.5199203187251,4.455696202531645,4.541015625,7.746835443037975
geo,Georgia,41.72,44.79,2824,-0.1749357072205737,0.28807414540202214,0.5439110889110889,5.835806132542038,0.4995004995004995,1.82956186807896,6.993006993006993
guy,Guyana,6.8,-58.16,2910,-0.4567168209876543,-0.2889439818319455,-0.018781334361743156,12.075617283950617,5.90050134978789,8.137774413323239,6.363285769379097
kir,Kiribati,1.45,173.02,2189,-0.7698734770384255,-0.4510324074074074,-0.025771561771561768,15.417057169634491,3.4965034965034967,6.944444444444445,2.0046620046620047
kos,Kosovo,42.66,21.17,1781,0.023129084967320263,0.1849074074074074,0.23867538838920688,3.6764705882352944,2.125919869174162,1.5432098765432098,6.459525756336877
lso,Lesotho,-29.31,27.48,3560,-1.5564297099139306,-0.6523399558498896,0.35280545858457635,35.16098182977367,2.1580450650587117,10.280668558814254,6.823230720406221
nam,Namibia,-22.56,17.08,5046,-1.0313350449293968,-0.7647047496790758,-0.264216944801027,23.170731707317074,7.958921694480104,13.7997432605905,3.7227214377406934
nep,Nepal,27.72,85.32,6749,-1.3898021332508887,-1.2558790627362055,-0.6302063443178318,32.44705518627299,11.995688327687096,24.504913076341648,2.694795195565137
soa,Samoa,-13.83,-171.76,2772,1.2233622730860167e-4,0.3935651509361865,0.495684630738523,7.379636937647987,3.153692614770459,3.3626289644631253,9.181636726546905
sur,Suriname,5.87,-55.17,4654,-0.29715382344257457,-0.277798796216681,-0.18543921916592723,7.0859167404783,6.06329488317066,6.592146746918888,4.081632653061225
swz,Eswatini,-26.32,31.13,2310,-1.0251788990825688,-0.1872420091324201,0.5672748161764706,19.908256880733948,1.7463235294117647,4.657534246575342,9.604779411764707
thai,Thailand,13.75,100.5,10638,-0.5215769545640606,-0.20389623397435896,0.08643406821963394,15.073679901760132,8.02828618968386,8.122996794871796,11.824043261231282
tto,Trinidad and Tobago,10.65,-61.52,1730,NA,NA,NA,NA,NA,NA,NA
